Nombre;Direccion;Barrio;ContactoTelefono;Categoria;Subcategoria;ContactoMail;Descripcion;lon;lat;Autoridades
Centro de Jubilados y Pensionados Metalúrgicos Zona Norte;Saavedra 2558;Munro;4760-9248;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5243501;-34.5304233;
Centro de Jubilados y Pensionados Renacer;Malaver 3499;Munro;4760-4582;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5116776;-34.5305588;
Asociación Civil Sol de Otoño;Armenia 2540;Munro;4721-9204;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5226752;-34.5291064;
Centro de Jubilados y Pensionados Años Felices;Belgrano 2535;Munro;4762-1297;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.523505;-34.5296499;
Centro de Jubilados Gracias a la Vida;V. Sarsfield 4198;Munro;4721-0936;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5189552;-34.5279291;
Centro Social y Cultural de Jubilados y Pensionados de Vte. López;Pringles 3851;Florida Oeste;4709-0916;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5130126;-34.536263;
Centro de Jubilados y Pensionados Un Rincón de Amigos;Haedo 4789;Florida Oeste;4709-0649;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5185678;-34.5465039;
Centro de Jubilados y Pensionados Amor y Amistad;Francia 4596;Florida Oeste;4766-7504;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5228211;-34.5385103;
Centro de Jubilados y Pensionados Juntos con Amor;Vergara 3940;Florida Oeste;4589-4241/ 4797-1714 (Pte);Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.512474;-34.539085;
Centro de Jubilados y Pensionados Amigos de Florida;French 1053;Florida Oeste;4709-3785 (centro);Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5181758;-34.5457525;
Centro de Jubilados y Pensionados Siempre Juntos;Italia 3355;Florida Oeste;4761-8895;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5089444;-34.5308524;
Centro de Jubilados Emilio Valdez;Melo 4564;Florida Oeste;4709-4402;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5159351;-34.5464062;
Centro de Jubilados y Pensionados El Trébol de Villa Martelli;Bolivia 284;Villa Martelli;4760-8178;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5056195;-34.5488067;
Centro de la Tercera Edad Unidos en Armonía;Laprida 3477;Villa Martelli;4553-3168;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.501091;-34.546375;
Centro de Jubilados y Pensionados Barrio Parque;Saubidett 3794;Villa Martelli;4709-5958;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5024452;-34.5511652;
Centro de Jubilados y Pensionados Feliz Reencuentro;Venezuela 3678;Villa Martelli;4709-4456;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.502564;-34.548344;
Centro de Jubilados y Pensionados Almafuerte de Villa Martelli;Moldes 4996;Villa Martelli;;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5186253;-34.5512239;
